项目名称,负责人工号,承担单位,开始时间,立项年度,项目结束时间,项目子类,甲方单位,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
高速磁浮车地无线通信系统研制,7110620,电子科学与工程学院（示范性微电子学院）,2018-10-29,2018,2022-12-31,技术开发,湖南中车时代通信信号有限公司,417.327586,354.72846,344.396562,财务通过，立项完成,直接立项,进行中
扬州扬杰电子科技股份有限公司半导体智能工厂建设,8130603,光电科学与工程学院,2018-10-26,2018,2019-12-31,技术开发,扬州扬杰电子科技股份有限公司,46.55,46.55,46.55,财务通过，立项完成,直接立项,进行中
增材过程变形在位测量集成系统定制,5230607,机械与电气工程学院,2018-10-26,2018,2019-01-26,技术开发,中国工程物理研究院机械制造工艺研究所,11,11,10.679612,财务通过，立项完成,直接立项,进行中
自动镜头对焦调节系统研制,5224610,自动化工程学院,2018-10-25,2018,2019-12-31,技术开发,成都臻识科技发展有限公司,30,30,30,财务通过，立项完成,直接立项,进行中
微型色谱柱制作,5224906,光电科学与工程学院,2018-10-24,2018,2019-01-31,技术开发,陆军防化学院,9,0,0,学校通过,直接立项,进行中
面向政府治理特定领域的知识图谱构建与应用技术研究,7130600,信息与软件工程学院（示范性软件学院）,2018-10-24,2018,2019-10-01,技术开发,中电科大数据研究院有限公司,62,37.2,37.2,财务通过，立项完成,直接立项,进行中
某项目天线罩电性能设计研制合同,7160604,物理学院,2018-10-23,2018,2019-10-23,技术开发,四川航天系统工程研究所,22,22,21.359223,财务通过，立项完成,直接立项,进行中
局部-整机目标特征传递方法研究,5225225,电子科学与工程学院（示范性微电子学院）,2018-10-23,2018,2019-06-30,技术开发,中航工业集团成都飞机设计研究所,70,70,67.961166,财务通过，立项完成,直接立项,进行中
JZ-0.1航行灯减振环的研制,5224399,电子科学与工程学院（示范性微电子学院）,2018-10-23,2018,2019-10-22,技术开发,兰州万里航空机电有限责任公司,37.5,37.5,37.5,财务通过，立项完成,直接立项,已结题
可靠性技术项目开发技术协议,7150634,机械与电气工程学院,2018-10-23,2018,2019-10-23,技术开发,北京世纪坐标科技股份有限公司,20,20,20,财务通过，立项完成,直接立项,进行中
如何建成资阳成渝中部产业聚集示范区（理论研究）项目委托课题合作协议书,7140637,经济与管理学院,2018-10-23,2018,2019-01-10,咨询/外币结算,四川九三创享科技服务有限公司,8,6.4,6.213592,财务通过，立项完成,直接立项,进行中
攀钢集团网络安全整改,7140635,资源与环境学院,2018-10-22,2018,2020-10-22,技术开发,成都积微物联电子商务有限公司,525.3371,525.33708,510.036001,财务通过，立项完成,直接立项,进行中
电子科技大学、美的续建联合实验室,5223864,电子科学与工程学院（示范性微电子学院）,2018-10-22,2018,2018-12-31,校企联合科研平台,广东美的厨房电器制造有限公司,90,90,87.378642,财务通过，立项完成,直接立项,进行中
涡旋电磁波在雷达抗干扰领域的应用技术研究,5224478,电子科学与工程学院（示范性微电子学院）,2018-10-20,2018,2019-02-28,技术开发,北京无线电测量研究所,25,25,24.271845,财务通过，立项完成,直接立项,进行中
应用于被动房的家居智能控制系统软件开发,7100848,机械与电气工程学院,2018-10-20,2018,2019-12-31,技术开发,河北易倍得智能机械制造有限公司,35,13,13,财务通过，立项完成,直接立项,进行中
微波量热负载设计,5230757,电子科学与工程学院（示范性微电子学院）,2018-10-20,2018,2019-06-30,技术开发,北京航天计量测试技术研究所,9.5,6.65,6.45631,财务通过，立项完成,直接立项,进行中
柔性机械臂控制系统采购合同,7110771,机器人研究中心,2018-10-20,2018,2020-01-20,技术开发,中国东方电气集团有限公司,18.7537,18.7537,18.207476,财务通过，立项完成,直接立项,进行中
复合式谐波雷达射频前端的研制,7110776,物理学院,2018-10-18,2018,2019-03-30,技术开发,成都锦安器材有限责任公司,18,18,16.788384,财务通过，立项完成,直接立项,进行中
编制高压含硫气井气体偏差系数校正及相关动态分析计算软件,5222308,信息与通信工程学院,2018-10-17,2018,2019-07-31,技术开发,中国石油天然气股份有限公司西南油气田分公司勘探开发研究院,18.5,18.5,17.961165,财务通过，立项完成,直接立项,进行中
基于飞秒激光的光纤传感器技术验证实验平台,7182796,自动化工程学院,2018-10-17,2018,2019-12-31,技术开发,中国科学院光电技术研究所,46.7,46.7,46.7,财务通过，立项完成,直接立项,进行中
大量电动汽车充放电的时空不确定性对山西电网规划的影响研究,7080677,自动化工程学院,2018-10-16,2018,2019-01-30,技术开发,北京科东电力控制系统有限责任公司,19.1,19.1,18.54369,财务通过，立项完成,直接立项,进行中
射频对消系统技术研究,8176802,通信抗干扰技术国家级重点实验室,2018-10-16,2018,2020-12-31,技术开发,中国电子科技集团公司第十四研究所,77,23.1,23.1,财务通过，立项完成,直接立项,进行中
软硬件混合可靠性设计与评估软件开发,7110642,机械与电气工程学院,2018-10-16,2018,2020-07-31,技术开发,中国船舶重工集团公司第七0九研究所,50,15,14.563107,财务通过，立项完成,直接立项,进行中
基于组合式方案特种电源“三性”设计,5224905,经济与管理学院,2018-10-16,2018,2019-02-28,咨询/外币结算,芜湖国睿兆伏电子有限公司,10,10,9.708738,财务通过，立项完成,直接立项,进行中
超晶格半导体材料性能测试研究,7130651,光电科学与工程学院,2018-10-15,2018,2019-10-15,技术开发,西南技术物理研究所,2.5,2.5,2.427184,财务通过，立项完成,直接立项,进行中
信息系统总线网络数据传输在线测试技术研究,5221302,光电科学与工程学院,2018-10-15,2018,2018-12-31,技术开发,四川华丰企业集团有限公司（国营第七九六厂）,6,6,5.825243,财务通过，立项完成,直接立项,进行中
基于GPU加速的某类信号检测技术研究,5223506,网络空间安全研究中心,2018-10-15,2018,2020-10-15,技术开发,中国人民解放军从参谋部第五十七研究所器材装备处,25,25,24.271845,财务通过，立项完成,直接立项,进行中
热像仪性能检测技术开发合同,7080620,资源与环境学院,2018-10-15,2018,2019-12-31,技术开发,湖北久之洋红外系统股份有限公司,12.7,12.7,12.330097,财务通过，立项完成,直接立项,进行中
波束控制器样件 加工合同,7140649,光电科学与工程学院,2018-10-15,2018,2019-03-10,技术开发,中国电子科技集团公司第二十七研究所,40,40,35.39823,财务通过，立项完成,直接立项,进行中
高速电磁阀冗余驱动及切换控制方法研究,7090784,自动化工程学院,2018-10-15,2018,2019-04-30,技术开发,重庆红江机械有限责任公司,19,19,19,财务通过，立项完成,直接立项,进行中
陶瓷电容基片,5222784,电子科学与工程学院（示范性微电子学院）,2018-10-15,2018,2022-12-31,技术开发,深圳市禹龙通电子有限公司,2.3,2.3,1.982758,财务通过，立项完成,直接立项,进行中
高效率人体姿态估计,5224324,信息与通信工程学院,2018-10-15,2018,2019-10-15,技术开发,华为技术有限公司,20.6,20.6,20,财务通过，立项完成,直接立项,进行中
面向云计算的高效可撤销身份基加密体制研究,7110828,信息与软件工程学院（示范性软件学院）,2018-10-15,2018,2019-12-31,技术开发,电子科技大学广东电子信息工程研究院,5.05,5.05,4.902913,财务通过，立项完成,直接立项,进行中
井下机器人视觉伺服技术支持服务合同,7171725,自动化工程学院,2018-10-15,2018,2020-10-15,技术开发,北京博光润泽科技有限公司,8.34,8.34,8.34,财务通过，立项完成,直接立项,进行中
下一代DCI互连解决方案研究,7172723,信息与通信工程学院,2018-10-15,2018,2019-10-31,技术开发,华为技术有限公司,259.56,259.56,252,财务通过，立项完成,直接立项,进行中
弹道目标近场电磁散射特性仿真及测量,5225225,电子科学与工程学院（示范性微电子学院）,2018-10-15,2018,2019-11-01,技术开发,空军工程大学训练部,18.9,17.955,17.432038,财务通过，立项完成,直接立项,进行中
基于集成学习方法的雅砻江流域来水预测技术研究,7120644,计算机科学与工程学院（网络空间安全学院）,2018-10-12,2018,2020-04-11,技术开发,雅砻江流域水电开发有限公司,238.066,142.8396,138.679224,财务通过，立项完成,直接立项,进行中
毫米波探测器设计,8150594,电子科学与工程学院（示范性微电子学院）,2018-10-12,2018,2020-12-12,技术开发,中北大学,18,18,18,财务通过，立项完成,直接立项,进行中
光电信号器,5230947,信息与通信工程学院,2018-10-12,2018,2019-04-30,技术开发,中航工业四川泛华航空仪表电器有限公司,20,20,19.417476,财务通过，立项完成,直接立项,进行中
为天齐锂业提供的志愿服务文化 咨询服务合同,6200885,经济与管理学院,2018-10-12,2018,2020-10-11,咨询/外币结算,天齐锂业股份有限公司,9.67,0,0,学校通过,直接立项,进行中
音频敏感数据识别技术研究（委托）合同,5224777,信息与软件工程学院（示范性软件学院）,2018-10-11,2018,2019-12-31,技术开发,中国电子科技网络信息安全有限公司,19.8,13.86,13.86,财务通过，立项完成,直接立项,进行中
国防知识产权咨询,5231090,电子科学与工程学院（示范性微电子学院）,2018-10-10,2018,2019-04-10,咨询/外币结算,成都陵川特种工业有限责任公司,2.88,2.88,2.796117,财务通过，立项完成,直接立项,进行中
机电设备可靠性技术发展现状调研,7150634,机械与电气工程学院,2018-10-10,2018,2019-05-10,技术开发,中国核动力研究设计院,11,11,11,财务通过，立项完成,直接立项,进行中
新时代成都市思想政治工作现状、问题与对策调查研究,7140661,马克思主义学院,2018-10-10,2018,2019-06-30,咨询/外币结算,中共成都市委宣传部,10,10,9.708738,财务通过，立项完成,直接立项,进行中
一种XXX国防知识产权咨询服务,5231090,电子科学与工程学院（示范性微电子学院）,2018-10-10,2018,2019-04-10,咨询/外币结算,成都陵川特种工业有限责任公司,0.48,0.48,0.466019,财务通过，立项完成,直接立项,进行中
无人机群路线规划模块设计与开发,5224295,信息与软件工程学院（示范性软件学院）,2018-10-10,2018,2018-11-21,技术开发,成都创新天府智能技术研究院有限公司,7,7,6.796117,财务通过，立项完成,直接立项,进行中
超级电容器用石墨烯包覆电极材料,5224900,材料与能源学院,2018-10-10,2018,2020-09-30,技术开发,广东风华高新科技股份有限公司,25,8,7.76699,财务通过，立项完成,直接立项,进行中
高可靠SRAM电路研制技术开发,7100678,资源与环境学院,2018-10-10,2018,2020-02-20,技术开发,中国科学院上海微系统与信息技术研究所,48,48,48,财务通过，立项完成,直接立项,进行中
网络直播视频数据采集与标注项目,7110759,信息与通信工程学院,2018-10-10,2018,2019-04-30,技术开发,北京大学,4.8,4.8,4.660194,财务通过，立项完成,直接立项,进行中
安徽省数字经济发展统计评估委托服务,7060611,计算机科学与工程学院（网络空间安全学院）,2018-10-10,2018,2021-12-31,技术开发,安徽数之慧数字经济研究院有限公司,8,0.5,0.485437,财务通过，立项完成,直接立项,进行中
内江智能揽客服务平台,7140674,信息与软件工程学院（示范性软件学院）,2018-10-10,2018,2019-11-30,技术开发,内江米多网络信息科技有限公司,12.5,12.5,12.5,财务通过，立项完成,直接立项,进行中
Research on Massive MIMO Antenna Array Structure and Geometry,7190670,通信抗干扰技术国家级重点实验室,2018-10-10,2018,2019-10-31,技术开发,华为技术有限公司,20.0026,11.948,11.6,财务通过，立项完成,直接立项,进行中
多帧联合处理方式设计及增程探测技术研究技术开发合同,5224620,信息与通信工程学院,2018-10-10,2018,2020-12-31,技术开发,中国航空工业集团公司雷华电子技术研究所,29,8.7,8.7,财务通过，立项完成,直接立项,进行中
某频段双极化SAR图像R目标识别,7172725,信息与通信工程学院,2018-10-09,2018,2019-10-09,技术开发,中国电子科技集团公司第三十八研究所,10,10,9.708738,财务通过，立项完成,直接立项,进行中
西北电网南疆环塔里木大环网送受电特性研究,7080677,自动化工程学院,2018-10-09,2018,2018-12-31,技术开发,北京科东电力控制系统有限责任公司,12.9,12.9,12.524272,财务通过，立项完成,直接立项,进行中
共形阵列天线技术,7120704,电子科学与工程学院（示范性微电子学院）,2018-10-08,2018,2019-12-31,技术开发,中国电子科技集团公司第五十四研究所,31.8,31.8,31.8,财务通过，立项完成,直接立项,进行中
一种XXX制备方法的国防知识产权咨询服务,5231090,电子科学与工程学院（示范性微电子学院）,2018-10-08,2018,2019-04-07,咨询/外币结算,中昊晨光化工研究院有限公司,0.48,0.48,0.466019,财务通过，立项完成,直接立项,进行中
机器学习引擎与企业图谱相关技术研究,5223874,信息与软件工程学院（示范性软件学院）,2018-10-08,2018,2019-03-31,技术开发,四川新网银行股份有限公司,25,25,25,财务通过，立项完成,直接立项,进行中
驱动SiP辐射可靠性实验设计、建模仿真与计算,7150634,机械与电气工程学院,2018-10-08,2018,2019-10-08,技术开发,中国工程物理研究院电子工程研究所,35,35,35,财务通过，立项完成,直接立项,进行中
电源瞬态特性采集系统技术研发,8186903,自动化工程学院,2018-10-08,2018,2020-10-08,技术开发,北京大华无线电仪器有限责任公司,48.78,48.78,48.78,财务通过，立项完成,直接立项,进行中
自动排产系统与物料分拣系统,5223995,计算机科学与工程学院（网络空间安全学院）,2018-10-08,2018,2019-06-30,技术开发,成都兴科达电器实业有限公司,40,30,29.126214,财务通过，立项完成,直接立项,进行中
AMOLED像素阵列驱动装置,5222500,电子科学与工程学院（示范性微电子学院）,2018-10-01,2018,2018-12-31,科技成果转化,成都市深思创新科技有限公司,10.0745,10.0745,10.0745,财务通过，立项完成,直接立项,进行中
电荷泵电路,5222500,电子科学与工程学院（示范性微电子学院）,2018-10-01,2018,2018-12-31,科技成果转化,成都市深思创新科技有限公司,9.8601,9.8601,9.8601,财务通过，立项完成,直接立项,进行中
基于物联网和云计算的智慧城市关键技术研究,7110621,航空航天学院,2018-10-01,2018,2020-12-31,技术开发,四川三秦电气有限责任公司,95,0,0,学校通过,直接立项,撤项
箭用无线供电与传能技术仿真及方案研究,5230773,电子科学与工程学院（示范性微电子学院）,2018-10-01,2018,2018-12-30,技术开发,北京航天自动控制研究所,36,36,34.951456,财务通过，立项完成,直接立项,进行中
**材料研制,7140638,电子科学与工程学院（示范性微电子学院）,2018-10-01,2018,2019-12-31,技术开发,北京机电工程总体设计部,30,30,29.126214,财务通过，立项完成,直接立项,进行中
藏羌彝非遗档案专家咨询项目,5224487,数字文化与传媒研究中心,2018-10-01,2018,2019-07-01,咨询/外币结算,成都电子科大出版社有限责任公司,3,3,2.912621,财务通过，立项完成,直接立项,进行中
轴承温度一体化集成技术研究,5230684,电子科学与工程学院（示范性微电子学院）,2018-10-01,2018,2019-12-01,技术开发,中国航空工业集团公司北京航空精密机械研究所,30,27,27,财务通过，立项完成,直接立项,进行中
微波炉单电源双磁控管技术研究,7120639,电子科学与工程学院（示范性微电子学院）,2018-10-01,2018,2020-08-31,技术开发,广东美的厨房电器制造有限公司,60,0,0,学校通过,直接立项,进行中
PLC-IOT表面波合作项目,7110823,电子科学与工程学院（示范性微电子学院）,2018-10-01,2018,2020-12-31,技术开发,华为技术有限公司,78.28,78.28,76,财务通过，立项完成,直接立项,进行中
小分子化合物在单晶硅材料表面的吸附模拟研究,7190673,生命科学与技术学院,2018-10-01,2018,2019-12-31,技术开发,常州时创能源科技有限公司,20,20,19.417476,财务通过，立项完成,直接立项,进行中
高功率微波武器一体化传输线仿真设计,5230881,电子科学与工程学院（示范性微电子学院）,2018-09-30,2018,2021-01-30,技术开发,中国人民解放军63672部队,56,50.4,48.932039,财务通过，立项完成,直接立项,进行中
高功率微波武器一体化传输线仿真设计,5230881,电子科学与工程学院（示范性微电子学院）,2018-09-30,2018,2019-11-30,技术开发,中国人民解放军63672部队,56,0,0,学校通过,直接立项,进行中
网络XXX画像,5223506,网络空间安全研究中心,2018-09-30,2018,2019-08-31,技术开发,中国信息安全测评中心,80,64,64,财务通过，立项完成,直接立项,进行中
电力巡检专用无人机安全防护研究,8190603,自动化工程学院,2018-09-30,2018,2019-09-30,技术开发,国网四川省电力公司电力科学研究院,55.756,41.626,40.002039,财务通过，立项完成,直接立项,进行中
微波高Q型MLCC（片式多层陶瓷 电容器）用C0G-200介质陶瓷材料,7100730,电子科学与工程学院（示范性微电子学院）,2018-09-30,2018,2021-09-30,技术开发,成都宏明电子科大新材料有限公司,60,0,0,学校通过,直接立项,进行中
雷达流速仪关键技术设计,7172894,物理学院,2018-09-29,2018,2019-06-01,技术开发,成都锦江电子系统工程有限公司,15,4.5,4.5,财务通过，立项完成,直接立项,进行中
贵州省自然生态空间动态监管信息平台建设技术服务（委托）合同,5231049,资源与环境学院,2018-09-29,2018,2021-12-31,技术开发,福建特力惠信息科技股份有限公司,77.09,77.09,74.84466,财务通过，立项完成,直接立项,进行中
SAR/GMTI宽幅成像技术,5222308,信息与通信工程学院,2018-09-28,2018,2020-12-31,技术开发,中国电子科技集团公司第十四研究所,100,0,0,财务通过，立项完成,直接立项,进行中
电子科技大学-金宇防务电子器件联合实验室启动费,5223818,电子科学与工程学院（示范性微电子学院）,2018-09-28,2018,2019-09-30,校企联合科研平台,成都金宇防务科技有限公司,50,50,48.543689,财务通过，立项完成,直接立项,进行中
雷达流速仪论证报告,7172894,物理学院,2018-09-28,2018,2019-06-01,技术开发,成都中电锦江信息产业有限公司,15,0,0,学校通过,直接立项,撤项
FPGA的IP核优化技术开发,7060613,自动化工程学院,2018-09-27,2018,2019-08-31,技术开发,中国电子科技集团公司第七研究所,30,30,30,财务通过，立项完成,直接立项,进行中
8MM开关,5223824,物理学院,2018-09-27,2018,2020-07-31,技术开发,西安电子工程研究所,15,15,12.931034,财务通过，立项完成,直接立项,进行中
示波器校准仪,7100703,自动化工程学院,2018-09-26,2018,2019-09-25,技术开发,北京东方计量测试研究所,70,70,67.961165,财务通过，立项完成,直接立项,进行中
西华师范大学ESI分析（2008-2018）,8174005,图书馆,2018-09-26,2018,2019-06-01,咨询/外币结算,西华师范大学,13.18,13.18,12.796117,财务通过，立项完成,直接立项,已结题
HWDV7芯片抗辐照技术开发,5224436,电子科学与工程学院（示范性微电子学院）,2018-09-26,2018,2020-12-31,技术开发,成都华微电子科技有限公司,145,29,29,财务通过，立项完成,直接立项,进行中
电压暂降对敏感用户影响评估分析系统,7120708,机械与电气工程学院,2018-09-26,2018,2018-12-31,技术开发,国网河南省电力公司平顶山供电公司,26,26,25.242718,财务通过，立项完成,直接立项,进行中
物联网智能控制基础技术及应用研究,5225169,机械与电气工程学院,2018-09-26,2018,2019-09-30,技术开发,香港汇邦电信有限公司,50,49.9984,48.542136,财务通过，立项完成,直接立项,进行中
基于X光的侧面头影测量标志点自动检测算法的研发,7080643,计算机科学与工程学院（网络空间安全学院）,2018-09-25,2018,2019-05-31,技术开发,无锡时代天使医疗器械科技有限公司,30,30,29.126213,财务通过，立项完成,直接立项,进行中
工程图中标注自动提取方法的研究,5230608,信息与通信工程学院,2018-09-24,2018,2019-09-23,技术开发,菲特(天津)检测技术有限公司,16.8,0,0,学校通过,直接立项,进行中
“大规模三维车载雷达数据标注软件开发”（一期合作）,7150641,资源与环境学院,2018-09-20,2018,2019-09-20,技术开发,上海交通大学,5.5,5.5,5.5,财务通过，立项完成,直接立项,进行中
宽频带随机小信号远距离隔离传输技术研究,5224026,航空航天学院,2018-09-20,2018,2019-01-15,技术开发,中国核动力研究设计院,19,19,18.446602,财务通过，立项完成,直接立项,进行中
管道振动超标处理专家系统开发,7150634,机械与电气工程学院,2018-09-20,2018,2019-03-20,技术开发,中国核动力研究设计院,37,37,37,财务通过，立项完成,直接立项,进行中
光偏折投影场视频测量误差实验研究、偏折角测量精度分析和评价,7120650,航空航天学院,2018-09-20,2018,2019-09-20,技术开发,中国人民解放军63833部队,4.4,4.4,4.271845,财务通过，立项完成,直接立项,进行中
机动轨迹成像侦察与动目标监视技术,7110707,信息与通信工程学院,2018-09-20,2018,2020-12-31,技术开发,中国航空工业集团公司雷华电子技术研究所,55,0,0,财务通过，立项完成,直接立项,进行中
基于真三维的牙齿微创三维导航研究,7140636,信息与软件工程学院（示范性软件学院）,2018-09-20,2018,2019-09-19,技术开发,四川虹微技术有限公司,10,0,0,学校通过,直接立项,进行中
印制电路BGA焊点互连的温变失效分析,7172728,材料与能源学院,2018-09-19,2018,2019-08-16,技术开发,安徽国家铜铅锌及制品质量监督检验中心,9,9,8.737864,财务通过，立项完成,直接立项,进行中
智能化性能评估和预测模型及算法技术合作项目,7100723,计算机科学与工程学院（网络空间安全学院）,2018-09-19,2018,2019-12-31,技术开发,华为技术有限公司,25.75,25.75,25,财务通过，立项完成,直接立项,进行中
3mm/8mm毫米波透过率测试系统,5223346,电子科学与工程学院（示范性微电子学院）,2018-09-19,2018,2020-09-30,技术开发,南京理工大学,115.8,115.8,102.477876,财务通过，立项完成,直接立项,进行中
20-30kW燃料电池石墨板电堆开发,7110704,自动化工程学院,2018-09-19,2018,2019-09-19,技术开发,江苏华昌化工股份有限公司,300,300,291.262137,财务通过，立项完成,直接立项,进行中
星间自组织通信网络技术研究,5230785,信息与通信工程学院,2018-09-18,2018,2019-12-31,技术开发,航天东方红卫星有限公司,70,70,67.961166,财务通过，立项完成,直接立项,进行中
反无人机无源定位算法研究,7060597,信息与通信工程学院,2018-09-17,2018,2019-12-31,技术开发,中国电子科技集团公司第十研究所,36,36,35.685437,财务通过，立项完成,直接立项,进行中
全球移动通信卫星系统技术体制研究,5230840,通信抗干扰技术国家级重点实验室,2018-09-15,2018,2020-07-31,技术开发,南京移动卫星通信工程技术研究发展中心,35,35,35,财务通过，立项完成,直接立项,进行中
FlexRay通信系统电气物理层规范研究,5221302,光电科学与工程学院,2018-09-15,2018,2019-01-31,技术开发,四川华丰企业集团有限公司（国营第七九六厂）,6,6,5.825243,财务通过，立项完成,直接立项,进行中
制冷型中波640×512焦平面微扫描热像仪及配套探测器组件性能测试技术服务合同,8190598,光电科学与工程学院,2018-09-15,2018,2019-12-31,技术开发,昆明物理研究所,51.45,51.45,49.951456,财务通过，立项完成,直接立项,进行中
机械臂视觉采摘果蔬技术开发项目,7171725,自动化工程学院,2018-09-15,2018,2019-09-15,技术开发,洛阳智能农业装备研究院有限公司,28,26.6,26.6,财务通过，立项完成,直接立项,进行中
W波段功率放大器及功率合成网络,5230872,电子科学与工程学院（示范性微电子学院）,2018-09-15,2018,2019-09-15,技术开发,中国人民解放军陆军炮兵防空兵学院,3.5,3.5,3.398058,财务通过，立项完成,直接立项,进行中
银川市科学技术局 —电子科技大学材料与能源学院银川（成都）飞地科研成果培育合作协议,7110666,材料与能源学院,2018-09-13,2018,2021-12-31,技术开发,银川市科技局,600,400,394.174757,财务通过，立项完成,直接立项,进行中
数据中心网络新架构合作项目,5223938,信息与通信工程学院,2018-09-13,2018,2019-09-12,技术开发,华为技术有限公司,103.12154,103.12154,100.118,财务通过，立项完成,直接立项,进行中
MIMO试验系统方案设计及试验验证,7060656,信息与通信工程学院,2018-09-13,2018,2019-12-20,技术开发,中国电子科技集团五十四所,50,10,10,财务通过，立项完成,直接立项,进行中
装备系统级测试性指标复核复算,5225127,自动化工程学院,2018-09-13,2018,2019-01-31,技术开发,中国运载火箭技术研究院,16,0,0,学校通过,直接立项,进行中
中国航油西南公司职业技能鉴定考试数据统计分析项目,5225145,信息中心,2018-09-12,2018,2018-12-20,咨询/外币结算,中国航空油料有限责任公司成都分公司,4.9,4.9,4.757282,财务通过，立项完成,直接立项,已结题
内江市大数据产业发展规划编制项目,7080666,计算机科学与工程学院（网络空间安全学院）,2018-09-12,2018,2019-09-11,技术开发,内江市经济和信息化委员会,19,19,18.446602,财务通过，立项完成,直接立项,进行中
热像仪性能检测技术开发合同,7080620,资源与环境学院,2018-09-10,2018,2019-12-31,技术开发,江苏北方湖光光电有限公司,20.16,20.16,19.572816,财务通过，立项完成,直接立项,进行中
烤箱LED灯关键材料与温度控制技术研究,5224900,材料与能源学院,2018-09-10,2018,2022-09-09,技术开发,扬州宝玛电子有限公司,20,0,0,学校通过,直接立项,进行中
热像仪性能检测技术开发合同,7080620,信息与通信工程学院,2018-09-10,2018,2019-10-10,技术开发,武汉高德红外股份有限公司,7.5,7.5,7.281553,财务通过，立项完成,直接立项,进行中
HWD4235技术合作开发,7100620,电子科学与工程学院（示范性微电子学院）,2018-09-10,2018,2020-12-31,技术开发,成都华微电子科技有限公司,16,4,4,财务通过，立项完成,直接立项,进行中
基于多载波卫星通信传输链路关键技术研究,5230840,通信抗干扰技术国家级重点实验室,2018-09-10,2018,2019-12-31,技术开发,中国电子科技集团公司第五十四研究所,69,5,5,财务通过，立项完成,直接立项,进行中
雷达目标设别方法研究,7090818,信息与通信工程学院,2018-09-09,2018,2019-09-09,技术开发,北京航天长征飞行器研究所,28,28,28,财务通过，立项完成,直接立项,进行中
高精度调光调色智能LED驱动芯片高压MOSFET开发,7140650,电子科学与工程学院（示范性微电子学院）,2018-09-07,2018,2019-12-31,技术开发,上海晶丰明源半导体股份有限公司,40,15,14.563107,财务通过，立项完成,直接立项,进行中
新型振动光纤技术在天然气管道危害预警现场试验应用研究技术服务合同,5223097,光电科学与工程学院,2018-09-07,2018,2018-12-31,技术开发,中国石油天然气股份有限公司西南油气田分公司川中油气矿,19.1666,19.1666,18.60835,财务通过，立项完成,直接立项,已结题
耐温高分子树脂开发,7070696,材料与能源学院,2018-09-07,2018,2018-11-07,技术开发,上海浦加钻采技术有限公司,13,13,11.206897,财务通过，立项完成,直接立项,进行中
MEMS传感器开关电路设计和工艺开发,7140650,电子科学与工程学院（示范性微电子学院）,2018-09-07,2018,2019-01-20,技术开发,上海芯物科技有限公司,10,10,9.912621,财务通过，立项完成,直接立项,已结题
一种XXX方法国防知识产权咨询服务,5231090,电子科学与工程学院（示范性微电子学院）,2018-09-06,2018,2019-02-05,咨询/外币结算,中国电子科技集团公司第十研究所,3.15,3.15,3.058252,财务通过，立项完成,直接立项,进行中
CVT谐波测量误差量化分析及校正技术服务,7080677,自动化工程学院,2018-09-03,2018,2018-12-31,技术开发,国网四川省电力公司电力科学研究院,21.7,21.085849,20.471698,财务通过，立项完成,直接立项,进行中
GIS管理信息系统,7090778,自动化工程学院,2018-09-03,2018,2019-09-03,技术开发,成都能通科技有限公司,40,40,40,财务通过，立项完成,直接立项,进行中
金属及合金氚化物中氦泡形核及演化行为的理论研究,5230850,基础与前沿研究院,2018-09-03,2018,2020-05-31,技术开发,中国工程物理研究院核物理及化学研究所,39,39,39,财务通过，立项完成,直接立项,进行中
战略热点事件分析与预测方法研究,7110798,计算机科学与工程学院（网络空间安全学院）,2018-09-03,2018,2019-03-31,技术开发,中国电子科技集团公司第十研究所,40,40,40,财务通过，立项完成,直接立项,进行中
质子交换膜开发,8220603,材料与能源学院,2018-09-01,2018,2020-08-31,技术开发,常州星源新能源材料有限公司,15,15,14.563107,财务通过，立项完成,直接立项,进行中
大数据平台集成和系列产品4期,5231066,计算机科学与工程学院（网络空间安全学院）,2018-09-01,2018,2020-12-01,技术开发,四川创意信息技术股份有限公司,120,120,120,财务通过，立项完成,直接立项,进行中
超宽带被动探测技术,5224391,信息与通信工程学院,2018-09-01,2018,2021-12-31,技术开发,航天长征火箭技术有限公司,120,0,0,学校通过,直接立项,进行中
基于非平稳信号变换的XXX研究及试验验证,5224358,通信抗干扰技术国家级重点实验室,2018-09-01,2018,2019-04-30,技术开发,北京临近空间飞行器系统工程研究所,17,17,17,财务通过，立项完成,直接立项,进行中
伽师县社区技防项目方案设计,8210649,公共安全信息和装备集成技术研究中心,2018-09-01,2018,2019-08-30,技术开发,天津汇智星源信息技术有限公司,103.4,103.4,100.38835,财务通过，立项完成,直接立项,进行中
精准、低噪四通道运算放大器系列芯片设计,5224215,电子科学与工程学院（示范性微电子学院）,2018-09-01,2018,2020-09-01,技术开发,贵州振华风光半导体有限公司,252.6,77,77,财务通过，立项完成,直接立项,进行中
功率放大器预失真方法测试,7130683,信息与通信工程学院,2018-09-01,2018,2018-11-30,技术开发,北京大学,4.1,4.1,3.980583,财务通过，立项完成,直接立项,进行中
功率放大器双层开环结构模型测试,7130683,信息与通信工程学院,2018-09-01,2018,2018-11-30,技术开发,北京大学,4.1,4.1,3.980583,财务通过，立项完成,直接立项,进行中
Ku波段1MW高功率输能窗设计,5224730,电子科学与工程学院（示范性微电子学院）,2018-09-01,2018,2018-12-31,技术开发,中国电子科技集团第十二研究所,9,9,9,财务通过，立项完成,直接立项,进行中
