项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
天空地频率轨道资源高效利用关键技术,33MH180111B,5223878 ,通信抗干扰技术国家级重点实验室,,2018-12-31,2018,2021-12-31,类别7,子类4,135,95,95,财务通过，立项完成,直接立项,进行中
三维仿真技术,2018YFB1201802-1,7120716 ,电子科学与工程学院（示范性微电子学院）,,2018-12-31,2018,2023-12-31,国家重点研发计划,参与课题,189,189,189,财务通过，立项完成,直接立项,进行中
高温超导XXX研究,2118Y37071A,7160698 ,光电科学与工程学院,,2018-12-31,2018,2021-12-31,类别2,子类1,840,756,756,财务通过，立项完成,直接立项,进行中
基于大数据的重点疾病防控应用分析,HX-H1812226,5225211 ,计算机科学与工程学院（网络空间安全学院）,,2018-12-31,2018,2019-12-31,四川省科技计划项目,其他,34.8,34.8,34.8,财务通过，立项完成,直接立项,进行中
太赫兹InP HBT *** MMIC,1213180306B,7060610 ,电子科学与工程学院（示范性微电子学院）,,2018-12-30,2018,2020-12-30,类别1,子类2,50,30,30,财务通过，立项完成,直接立项,进行中
XXX多中心大数据可信服务关键技术,2118H15451A,7110755 ,计算机科学与工程学院（网络空间安全学院）,,2018-12-30,2018,2019-12-30,类别2,子类1,100,80,80,财务通过，立项完成,直接立项,进行中
柔性外骨骼辅助技术及其应用研究,2118H83001A,7070594 ,航空航天学院,,2018-12-28,2018,2019-05-28,类别2,子类1,100,60,60,财务通过，立项完成,直接立项,进行中
日本唯美派文学与中国关系研究,SC18WY015,5230692 ,外国语学院,,2018-12-28,2018,2019-12-01,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
面向智慧医疗的绿色物联网信息传输与接入理论与技术研究,U1801261,7140601 ,智能通信与网络研究中心,"华南理工大学,中国科学院深圳先进技术研究院",2018-12-27,2018,2022-12-31,国家自然科学基金,重点项目,276,203.09,190,财务通过，立项完成,直接立项,进行中
上下文相关的自适应目标检测,2018-YF05-01138-GX,7090609 ,信息与软件工程学院（示范性软件学院）,,2018-12-26,2018,2019-08-31,成都市科技项目,科技惠民计划项目,10,10,10,财务通过，立项完成,直接立项,进行中
以批判性思维和辩论为主要内容的中外教协同教学模式研究,SC18WY014,7090747 ,外国语学院,,2018-12-26,2018,2019-12-31,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
基于机器学习技术的网络舆情监测与网络舆论引导研究,SC18EZD009,7130692 ,数字文化与传媒研究中心,,2018-12-26,2018,2019-12-24,四川省哲学社会科学规划项目,其他项目,5,4.8,4.8,财务通过，立项完成,直接立项,进行中
人工智能背景下计算机辅助翻译实验教学模式研究（论文）,SC18WY013,8130619 ,外国语学院,,2018-12-26,2018,2019-12-31,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
信息化技术下的四川教育公共服务均衡发展研究,SC18EZD010,7150646 ,公共管理学院,,2018-12-26,2018,2019-12-31,四川省哲学社会科学规划项目,重点项目,5,4.8,4.8,财务通过，立项完成,直接立项,进行中
LTCC微通孔沉积Cu机理与孔金属致密化研究,61841401,8130609 ,材料与能源学院,,2018-12-26,2018,2019-12-31,国家自然科学基金,其他项目,16,16,16,财务通过，立项完成,直接立项,进行中
眼科学的基础研究现在和未来,81842021,4160694 ,医学院,,2018-12-26,2018,2019-12-31,国家自然科学基金,其他项目,10,10,10,财务通过，立项完成,直接立项,进行中
XXXX分析与预测技术,2018YFB0804504,7150714 ,计算机科学与工程学院（网络空间安全学院）,"北京交通大学,北京知道未来信息技术有限公司",2018-12-25,2018,2021-12-25,国家重点研发计划,课题,379,337.31,337.31,财务通过，立项完成,直接立项,进行中
XXX传感器研究,2118Y24541A,7190693 ,电子科学与工程学院（示范性微电子学院）,,2018-12-25,2018,2020-12-31,类别2,子类1,200,180,180,财务通过，立项完成,直接立项,进行中
5G毫米波宽带高效率芯片及相控阵系统研究,2018B010115001,5224812 ,通信抗干扰技术国家级重点实验室,,2018-12-25,2018,2021-12-31,省外产学研项目,省部级项目,250,200,200,财务通过，立项完成,直接立项,进行中
面向柔性薄膜器件的二维材料电磁特性研究,2019YFSY0007,7110827 ,电子科学与工程学院（示范性微电子学院）,香港城市大学,2018-12-24,2018,2021-12-31,四川省科技计划项目,省院省校科技合作研发项目,20,20,20,财务通过，立项完成,直接立项,进行中
XXX研究,2118H28092A,5223531 ,电子科学与工程学院（示范性微电子学院）,,2018-12-24,2018,2020-12-31,类别2,子类1,270,180,180,财务通过，立项完成,直接立项,进行中
***系列化材料,71PT2099,5223365 ,电子科学与工程学院（示范性微电子学院）,,2018-12-20,2018,2022-12-20,类别7,子类1,295,148,148,财务通过，立项完成,直接立项,进行中
****关键技术及系统,2018YFB0804100,7160630 ,网络空间安全研究中心,"清华大学,四川大学,西安电子科技大学",2018-12-20,2018,2022-12-19,国家重点研发计划,课题,435,391.547,391.547,财务通过，立项完成,直接立项,进行中
***集成器件模型研究,2118Y13412A,7120722 ,电子科学与工程学院（示范性微电子学院）,,2018-12-20,2018,2020-12-31,类别2,子类1,120,108,108,财务通过，立项完成,直接立项,进行中
智能结构传感薄膜制备工艺,2219C024B,5230684 ,电子科学与工程学院（示范性微电子学院）,,2018-12-20,2018,2021-12-31,类别2,子类2 （课题）,30,25,25,财务通过，立项完成,直接立项,进行中
XXX存储器技术,1213183063B,5224499 ,电子科学与工程学院（示范性微电子学院）,,2018-12-19,2018,2020-12-31,类别1,子类2,200,175,175,财务通过，立项完成,直接立项,进行中
xxxx技术研究,2118H23251A,7182802 ,信息与通信工程学院,,2018-12-19,2018,2019-12-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
“互联网+”促进制造业创新驱动发展及其政策研究,17ZDA051,5224248 ,经济与管理学院,,2018-12-18,2018,2021-12-31,国家社会科学基金项目,一般项目,6,5.5,5.5,财务通过，立项完成,直接立项,进行中
共享经济中消费者行为模式挖掘及其对平台效率的影响研究,91846105,5221051 ,经济与管理学院,,2018-12-17,2018,2021-12-31,国家自然科学基金,重大研究计划,43,45.67,43,财务通过，立项完成,直接立项,进行中
低密度B4C/Al复合材料制备工艺及动态力学性能研究,2018JY0410,7160739 ,自动化工程学院,"西南科技大学,中国空气动力研究与发展中心",2018-12-17,2018,2021-06-30,四川省科技计划项目,应用基础研究项目,10,3.25,3.25,财务通过，立项完成,直接立项,进行中
国际脑老化精准神经科学研究,2018JZ0073,7080710 ,生命科学与技术学院,,2018-12-15,2018,2021-12-31,四川省科技计划项目,重点研发计划,100,100,100,财务通过，立项完成,直接立项,进行中
飞机大部件自动化柔性装配生产线的研制,2018jxw006,7110672 ,机械与电气工程学院,,2018-12-13,2018,2019-12-31,四川省产学研项目,省部级项目,47.7,47.7,47.7,财务通过，立项完成,直接立项,进行中
xxxxxx感知网,2118H42103A,5230969 ,航空航天学院,,2018-12-13,2018,2020-11-30,类别2,子类1,350,315,315,财务通过，立项完成,直接立项,进行中
多中心、多模态抑郁症脑影像信息模式识别方法与关键技术,U1808204,5224982 ,生命科学与技术学院,中国医科大学,2018-12-13,2018,2022-12-31,国家自然科学基金,联合基金项目,250,178.49,167,财务通过，立项完成,直接立项,进行中
赛尔网络下一代互联网技术创新项目,NGII20180317,5224718 ,光电科学与工程学院,,2018-12-11,2018,2020-12-10,其他科技项目,高新类,10,9,9,财务通过，立项完成,直接立项,进行中
基于IPv6移动端流量的用户行为识别和监控,NGII20180404,5224600 ,信息与软件工程学院（示范性软件学院）,,2018-12-11,2018,2019-12-10,教育部科学技术研究项目,一般项目,10,9,9,财务通过，立项完成,直接立项,进行中
点阵畸变调控单斜相VO2多晶薄膜相变抑制及热敏性能研究,61841501,7100699 ,光电科学与工程学院,,2018-12-11,2018,2019-12-31,国家自然科学基金,面上项目,16,16,16,财务通过，立项完成,直接立项,进行中
反********关键技术研究,B1WJ2018014,7130693 ,信息与通信工程学院,,2018-12-11,2018,2019-12-31,类别B,子类1,288.99,288.99,288.99,财务通过，立项完成,直接立项,进行中
小胶质细胞在IL-10抗抑郁中的作用机制研究,2018LWJ,5230863 ,生命科学与技术学院,,2018-12-10,2018,2020-12-31,实验室基金（校外）,实验室基金（一般类）,10,5,4.854369,财务通过，立项完成,直接立项,进行中
1.2涉诉信访辅助引导与信访区异常行为管控技术研究,2018YFC0831803,7070640 ,计算机科学与工程学院（网络空间安全学院）,"西南政法大学,北京航天长峰科技工业集团有限公司",2018-12-09,2018,2021-11-30,国家重点研发计划,课题,270,270,270,财务通过，立项完成,直接立项,进行中
基于微结构调控的软磁铁氧体高频低功耗化机理及制备方法的研究,U1809215,5225132 ,电子科学与工程学院（示范性微电子学院）,,2018-12-07,2018,2022-12-31,国家自然科学基金,联合基金项目,50,30,30,财务通过，立项完成,直接立项,进行中
自主装修机器人关键技术,U1813202,7110771 ,计算机科学与工程学院（网络空间安全学院）,"哈尔滨工业大学（深圳）,深圳广田机器人有限公司",2018-12-06,2018,2022-12-31,国家自然科学基金,联合基金项目,292,204.01,191,财务通过，立项完成,直接立项,进行中
多用户XXX控制技术,13TJ180207B,5230840 ,通信抗干扰技术国家级重点实验室,,2018-12-05,2018,2019-05-31,类别6,子类7,15,15,14.563107,财务通过，立项完成,直接立项,进行中
城市不透水面时空演化与水涝灾害建模研究,2018SWG02,9200776 ,资源与环境学院,,2018-12-03,2018,2020-12-31,实验室基金（校外）,实验室基金（一般类）,8,4,4,财务通过，立项完成,直接立项,进行中
****示范工程,2018YFB0804702,7100623 ,计算机科学与工程学院（网络空间安全学院）,,2018-12-02,2018,2021-12-01,国家重点研发计划,参与课题,40,33.79,33.79,财务通过，立项完成,直接立项,进行中
碳化硅功率器件的研究（国家重点实验室开放基金）,KFJJ201806,7160596 ,电子科学与工程学院（示范性微电子学院）,,2018-12-01,2018,2020-12-31,实验室基金（校内）,国家级平台基金,10,0,0,学校通过,直接立项,进行中
大动态接收机技术研究,6142216180505,7110823 ,电子科学与工程学院（示范性微电子学院）,,2018-12-01,2018,2020-12-31,实验室基金（校外）,实验室基金（一般类）,80,0,0,学校通过,直接立项,进行中
W波段XXX技术,1212183013B,7120721 ,电子科学与工程学院（示范性微电子学院）,,2018-12-01,2018,2020-12-31,类别1,子类2,19.7,11.82,11.82,财务通过，立项完成,直接立项,进行中
泥石流灾害多传感器多维度协同监测智能分析技术研究,2018YFC1505203,7190603 ,自动化工程学院,,2018-12-01,2018,2021-11-30,国家重点研发计划,参与课题,60,60,60,财务通过，立项完成,直接立项,进行中
类脑芯片基础理论xxxx模型研究,2118Y29091A,7090601 ,计算机科学与工程学院（网络空间安全学院）,,2018-12-01,2018,2020-12-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
工作记忆能力的量化和提升方案研制,2118Y51077A,5230868 ,生命科学与技术学院,,2018-12-01,2018,2019-11-30,类别2,子类1,10,9,9,财务通过，立项完成,直接立项,进行中
基于光谱分析的公路扬尘监测与评估方法研究,20195687,7160603 ,电子科学与工程学院（示范性微电子学院）,,2018-12-01,2018,2019-12-01,实验室基金（校外）,实验室基金（一般类）,5,5,5,财务通过，立项完成,直接立项,进行中
XXXXXXXXXXX补偿技术,1212190401B,7080659 ,自动化工程学院,,2018-12-01,2018,2020-12-31,类别1,子类2,115,69,69,财务通过，立项完成,直接立项,进行中
多核仿脑神经形态芯片研究,2118Y29051A,7181712 ,电子科学与工程学院（示范性微电子学院）,,2018-12-01,2018,2020-12-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
人工智能应用区块链基础平台关键技术研究,2019YFG0400,7100785 ,信息与软件工程学院（示范性软件学院）,,2018-12-01,2018,2022-06-30,四川省科技计划项目,重大专项,10,10,10,财务通过，立项完成,直接立项,进行中
XXXX探测器研究,2118Y37041A,5230823 ,光电科学与工程学院,,2018-12-01,2018,2021-12-31,类别2,子类1,950,855,855,财务通过，立项完成,直接立项,进行中
XXX电路设计与集成研究,2118Y37042A,8161610 ,光电科学与工程学院,,2018-12-01,2018,2021-12-31,类别2,子类1,350,315,315,财务通过，立项完成,直接立项,进行中
基于XX信号的XX技术,10601030103,7090810 ,综合电子系统技术教育部重点实验室(B类),"北京空间飞行器总体设计部,北京理工大学",2018-12-01,2018,2021-12-31,类别6,子类6,405,240,240,财务通过，立项完成,直接立项,进行中
****环境下机械产品的可靠性设计方法研究,61ZL18120502,7110642 ,机械与电气工程学院,,2018-12-01,2018,2019-11-30,类别9,子类1,45,36,36,财务通过，立项完成,直接立项,进行中
XXX方案设计与评估研究,61ZL19030027,7150676 ,机械与电气工程学院,,2018-12-01,2018,2019-11-30,类别9,子类1,50,50,50,财务通过，立项完成,直接立项,进行中
复杂山区精细化泥石流监测预警系统平台,2018YFC1505205-02,7120649 ,资源与环境学院,,2018-12-01,2018,2021-11-30,国家重点研发计划,参与课题,58,58,58,财务通过，立项完成,直接立项,进行中
基于碳纳米管的宽带收发前端放大技术,1213190405A,7100602 ,电子科学与工程学院（示范性微电子学院）,"北京华碳元芯电子科技有限责任公司,中国电子科技集团公司第五十五研究所",2018-12-01,2018,2020-12-01,类别1,子类2,225,196,196,财务通过，立项完成,直接立项,进行中
面向雷达对抗的威胁电磁态势认知与智能表征技术,CEMEE2019K0102A,7090790 ,信息与通信工程学院,,2018-12-01,2018,2019-12-31,实验室基金（校外）,实验室基金（一般类）,15,6,6,财务通过，立项完成,直接立项,进行中
海绵道路生态排水系统内涝预警装置研究,20195686,7150672 ,电子科学与工程学院（示范性微电子学院）,,2018-12-01,2018,2019-12-01,实验室基金（校外）,实验室基金（一般类）,5,5,5,财务通过，立项完成,直接立项,进行中
新一代互联网智能教育平台研发与示范应用,2018GZDZX0041,7100785 ,信息与软件工程学院（示范性软件学院）,,2018-12-01,2018,2020-09-30,四川省科技计划项目,重大专项,70,70,70,财务通过，立项完成,直接立项,进行中
柔性XXX传感器,1212190103A,7090690 ,光电科学与工程学院,中国电子科技集团公司第四十九研究所,2018-12-01,2018,2020-12-31,类别1,子类2,450,360,360,财务通过，立项完成,直接立项,进行中
多源涉诉信访案件诉访分离与诉讼随案风险排查辅助 技术研究,2018YFC083180,5230687 ,计算机科学与工程学院（网络空间安全学院）,北京大学,2018-12-01,2018,2021-11-30,国家重点研发计划,参与课题,113.65,113.65,113.65,财务通过，立项完成,直接立项,进行中
XXXX系统可靠性评估方法研究,61ZL18120501,7150676 ,机械与电气工程学院,,2018-12-01,2018,2019-11-30,类别9,子类1,45,36,36,财务通过，立项完成,直接立项,进行中
面向基础教育的区域信息化服务科技惠民 应用示范,2015-HM02-00102-SF,7160608 ,信息与软件工程学院（示范性软件学院）,,2018-12-01,2018,2019-12-31,成都市科技项目,科技惠民计划项目,20,20,20,财务通过，立项完成,直接立项,进行中
高可靠智能电池及模组技术研究（重大前沿）,2018JY0554,7110666 ,材料与能源学院,,2018-12-01,2018,2021-11-30,四川省科技计划项目,应用基础研究项目,15,15,15,财务通过，立项完成,直接立项,进行中
浓香型白酒酿造智能化车间新模式应用,2018JXW0313,7100745 ,机械与电气工程学院,,2018-11-30,2018,2021-12-31,四川省产学研项目,省部级项目,7.1,5,5,财务通过，立项完成,直接立项,进行中
高温***研究,2018YFF01013603,5223531 ,电子科学与工程学院（示范性微电子学院）,中国电子科技集团公司第四十一研究所,2018-11-30,2018,2021-09-30,国家重点研发计划,课题,459,408.44,408.44,财务通过，立项完成,直接立项,进行中
xxxx技术研究,22ZQ180058A,5230775 ,信息与通信工程学院,,2018-11-30,2018,2023-12-31,类别2,子类3,500,300,300,财务通过，立项完成,直接立项,进行中
基于数据驱动的遥感影像复原问题的模型和基础算法研究,2118Y11561A,7120717 ,数学科学学院,,2018-11-30,2018,2019-11-30,类别2,子类1,40,36,36,财务通过，立项完成,直接立项,进行中
高性能纯电动四驱SUV 整车集成开发技术研究,2018YFB0106100,7090784 ,自动化工程学院,,2018-11-30,2018,2020-12-31,国家重点研发计划,参与课题,100,99.04,99.04,财务通过，立项完成,直接立项,进行中
政务微博平台的公众情感交互及其政策效应,SC18B033,7172711 ,公共管理学院,,2018-11-30,2018,2019-12-01,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
固态法白酒生产车间新模式应用,2018GXB033,7100745 ,机械与电气工程学院,,2018-11-29,2018,2021-12-31,省外产学研项目,省部级项目,18,9,9,财务通过，立项完成,直接立项,进行中
空间XXX新技术,2118Y13121A,5223531 ,电子科学与工程学院（示范性微电子学院）,,2018-11-29,2018,2019-12-31,类别2,子类1,210,185,185,财务通过，立项完成,直接立项,进行中
XXXX技术研究,2118Y13111A,7130668 ,信息与软件工程学院（示范性软件学院）,,2018-11-28,2018,2020-10-31,类别2,子类1,600,540,540,财务通过，立项完成,直接立项,进行中
软件化雷达中间件技术,14YY180113A,5224484 ,信息与通信工程学院,,2018-11-27,2018,2020-08-31,类别1,子类4,50,45,45,财务通过，立项完成,直接立项,进行中
***技术研究,2118Y32172A,7100699 ,光电科学与工程学院,,2018-11-27,2018,2019-10-31,类别2,子类1,80,72,72,财务通过，立项完成,直接立项,进行中
制造商与分享经济平台之间的竞争及其对合作的管理启示,71840007,5224426 ,经济与管理学院,,2018-11-23,2018,2019-12-31,国家自然科学基金,其他项目,14,14,14,财务通过，立项完成,直接立项,进行中
基于概XX磁处理技术,2118Y83031A,7060720 ,通信抗干扰技术国家级重点实验室,,2018-11-22,2018,2019-07-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
基于R15支持毫米波的5G终端基带芯片和射频芯片工程样片研发,2018ZX03001008,7110827 ,电子科学与工程学院（示范性微电子学院）,,2018-11-21,2018,2019-12-31,国家科技重大专项,课题,70,0,0,学校通过,直接立项,进行中
输气管道内检测电磁涡流超声耦合技术合作研究,3-10,7140599 ,自动化工程学院,,2018-11-21,2018,2020-11-30,国际科技合作与交流专项,科技部国际合作交流专项,8,8,7.76699,财务通过，立项完成,直接立项,进行中
xxxx核心技术研究,2118Y12222A,7171713 ,光电科学与工程学院,,2018-11-20,2018,2020-10-31,类别2,子类1,180,162,162,财务通过，立项完成,直接立项,进行中
高校网络文化研究评价中心工作调研项目,jszs-554,5223930 ,党委学生工作部（学生工作处、武装部）,,2018-11-20,2018,2019-12-31,其他社科类项目,其他社科类项目,10,10,10,财务通过，立项完成,直接立项,进行中
活血化瘀复方治疗中风后抑郁症的作用机制研究,2018003,5230863 ,生命科学与技术学院,,2018-11-19,2018,2021-12-31,实验室基金（校外）,实验室基金（一般类）,10,10,10,财务通过，立项完成,直接立项,进行中
XXXX智能设计平台,2118H83222A,7182719 ,航空航天学院,,2018-11-15,2018,2020-10-31,类别2,子类1,300,250,250,财务通过，立项完成,直接立项,进行中
石墨烯基柔性力敏传感器关键技术研究,2118H42034A,7090678 ,电子科学与工程学院（示范性微电子学院）,,2018-11-15,2018,2020-11-30,类别2,子类1,260,234,234,财务通过，立项完成,直接立项,进行中
“去中心化”数字货币的法律治理研究,SC18B032,7110766 ,公共管理学院,,2018-11-15,2018,2019-12-31,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
基于地理时空大数据的城市功能系统多样性与鲁棒性研究,KF-2018-03-063,9200776 ,资源与环境学院,,2018-11-15,2018,2020-05-31,实验室基金（校外）,实验室基金（一般类）,20,20,20,财务通过，立项完成,直接立项,进行中
xxxxxxx技术研究C,2118H21273A,7140649 ,光电科学与工程学院,,2018-11-13,2018,2020-12-31,类别2,子类1,200,180,180,财务通过，立项完成,直接立项,进行中
国产化XXX薄膜电容器技术,14YY180205B,7100604 ,光电科学与工程学院,,2018-11-10,2018,2020-12-31,类别1,子类4,120,108,104.854369,财务通过，立项完成,直接立项,进行中
新时代中国特色军民融合发展体制、机制和政策研究,71841053,5230842 ,经济与管理学院,,2018-11-10,2018,2019-09-30,国家自然科学基金,面上项目,20,20,20,财务通过，立项完成,直接立项,进行中
可光刻玻璃及其通孔技术研究,2118Y42011A,7060709 ,电子科学与工程学院（示范性微电子学院）,,2018-11-10,2018,2020-11-30,类别2,子类1,460,414,414,财务通过，立项完成,直接立项,进行中
基于脑网络分层信息传递模型的疼痛认知脑影像学研究,2018JY0562,5230690 ,数学科学学院,,2018-11-06,2018,2021-06-30,四川省科技计划项目,应用基础研究项目,10,10,10,财务通过，立项完成,申报立项,进行中
微波光子器件自校准测试技术,14YY195901A,7090634 ,光电科学与工程学院,,2018-11-01,2018,2019-11-30,类别1,子类4,50,45,45,财务通过，立项完成,直接立项,进行中
跨介质异构无人系统群体协同技术,14YY18120305B,7110617 ,信息与通信工程学院,,2018-11-01,2018,2019-12-31,类别1,子类4,9,8.1,8.1,财务通过，立项完成,直接立项,进行中
基于时空数据的***分析与预测技术研究,62HJ190B74,5230933 ,信息与软件工程学院（示范性软件学院）,,2018-11-01,2018,2020-12-31,类别6,子类1,30,15,15,财务通过，立项完成,直接立项,进行中
面向工具组合的开放式***系统架构研究,62HJ190B73,5230845 ,信息与软件工程学院（示范性软件学院）,,2018-11-01,2018,2020-12-31,类别6,子类1,30,15,15,财务通过，立项完成,直接立项,进行中
高实时性边缘移动云研究,2118Y21101A,7150655 ,航空航天学院,,2018-11-01,2018,2019-10-31,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
长波红外探测材料研究,14YY190403A,5224783 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2020-12-31,类别1,子类4,240,216,216,财务通过，立项完成,直接立项,进行中
无人机编队信息交互拓扑在线优化技术,14YY193301A,9180872 ,航空航天学院,,2018-11-01,2018,2019-12-31,类别1,子类4,50,45,45,财务通过，立项完成,直接立项,进行中
电磁涡旋雷达成像机理研究,14YY0307A,7150649 ,信息与通信工程学院,,2018-11-01,2018,2019-12-31,类别1,子类4,50,45,45,财务通过，立项完成,直接立项,进行中
高品质任意波信号发生技术,14YY190201A,5230870 ,自动化工程学院,,2018-11-01,2018,2020-12-31,类别1,子类4,250,225,225,财务通过，立项完成,直接立项,进行中
XXXXXX天线阵及实现机理研究,2118Y11711A,7120704 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2019-10-31,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
基于***电磁散射建模技术,1116190408A,5224896 ,电子科学与工程学院（示范性微电子学院）,中国船舶重工集团公司第七〇一研究所,2018-11-01,2018,2020-12-01,类别1,子类1,167,127,127,财务通过，立项完成,直接立项,进行中
视频SAR运动目标检测与跟踪技术,14YY0309A,5225164 ,信息与通信工程学院,,2018-11-01,2018,2019-12-31,类别1,子类4,50,45,45,财务通过，立项完成,直接立项,进行中
高导热膜材料研究,14YY190407A,7150668 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2019-12-31,类别1,子类4,50,45,45,财务通过，立项完成,直接立项,进行中
室温快速自修复柔性材料研究,14YY190410A,7150668 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2019-12-31,类别1,子类4,50,50,50,财务通过，立项完成,直接立项,进行中
新型太赫兹天线技术,14YY0407A,7120598 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2019-12-31,类别1,子类4,50,45,45,财务通过，立项完成,直接立项,进行中
基于AI技术人工智能安防系统的研发与应用,2018-YF08-00002-GX,7110697 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2020-06-30,成都市科技项目,创新创业载体资助,20,10,10,财务通过，立项完成,直接立项,进行中
xxxx光纤激光器,1114180106A,7100719 ,光电科学与工程学院,吉林大学,2018-11-01,2018,2020-12-31,类别1,子类1,220,198,198,财务通过，立项完成,直接立项,进行中
高灵敏度光纤***技术研究,1114180303A,7090658 ,光电科学与工程学院,,2018-11-01,2018,2020-12-31,类别1,子类1,210,190,190,财务通过，立项完成,直接立项,进行中
××微带环行器技术,61404130404,7070637 ,材料与能源学院,,2018-11-01,2018,2020-12-31,类别1,子类4,250,225,225,财务通过，立项完成,直接立项,进行中
***新概念研究与验证,2118H11048A,7090807 ,通信抗干扰技术国家级重点实验室,,2018-11-01,2018,2020-04-30,类别2,子类1,350,315,315,财务通过，立项完成,直接立项,进行中
大规模XXX智能分析与XXX,22ZQ180059A,5224898 ,信息与软件工程学院（示范性软件学院）,,2018-11-01,2018,2023-12-31,类别2,子类3,500,300,300,财务通过，立项完成,直接立项,进行中
非热XXX诊断技术研究,2118Y38014A,5223531 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2020-12-01,类别2,子类1,320,288,288,财务通过，立项完成,直接立项,进行中
分布式神经网络与SDN网络架构的融合技术研究,2118Y11511A,5230924 ,计算机科学与工程学院（网络空间安全学院）,,2018-11-01,2018,2019-10-31,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
面向目标特征获取的真实与先验数据融合识别方法研究,2118Y11491A,7160655 ,计算机科学与工程学院（网络空间安全学院）,,2018-11-01,2018,2019-10-31,类别2,子类1,45,40,40,财务通过，立项完成,直接立项,进行中
微波频段液晶材料调谐机理与应用研究,2118Y11551A,7160597 ,信息与通信工程学院,,2018-11-01,2018,2019-10-31,类别2,子类1,40,36,36,财务通过，立项完成,直接立项,进行中
电磁波—超声波认知调控研究,2118Y11501A,7172731 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2019-10-31,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
可变边界条件下声场控制技术研究,2118Y11591A,7190619 ,信息与通信工程学院,,2018-11-01,2018,2019-10-31,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
晶圆级（Wafer-Scale）片上可重构侦干探通一体化射频微系统研究,2118Y12261A,7181704 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2019-10-31,类别2,子类1,70,60,60,财务通过，立项完成,直接立项,进行中
单晶取向可控焊锡接头研究,14YY180303A,7110777 ,机械与电气工程学院,上海工程技术大学,2018-11-01,2018,2019-12-31,类别1,子类4,50,45,45,财务通过，立项完成,直接立项,进行中
高效、高功率密度XXXX关键技术研究,22ZQ180060A,5224994 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2023-12-31,类别2,子类3,500,300,300,财务通过，立项完成,直接立项,进行中
分布式集群***自组网技术研究,2118Y13231A,7090673 ,通信抗干扰技术国家级重点实验室,,2018-11-01,2018,2019-10-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
复合**机理研究,2118Y21461A,7080627 ,材料与能源学院,,2018-11-01,2018,2020-04-30,类别2,子类1,80,72,72,财务通过，立项完成,直接立项,进行中
反铁磁斯格明子阵列新型太赫兹波源的研究,2118Y11451A,7171736 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2019-10-31,类别2,子类1,80,72,72,财务通过，立项完成,直接立项,进行中
超高比XXX研究,2118Y31033A,7150630 ,材料与能源学院,,2018-11-01,2018,2020-10-31,类别2,子类1,280,200,200,财务通过，立项完成,直接立项,进行中
电池XXXXX技术研究,2118Y31010A,9200755 ,材料与能源学院,,2018-11-01,2018,2020-10-31,类别2,子类1,500,450,450,财务通过，立项完成,直接立项,进行中
能源系统XXXX研究,2118Y31017A,7110666 ,材料与能源学院,,2018-11-01,2018,2019-12-31,类别2,子类1,150,135,135,财务通过，立项完成,直接立项,进行中
智能化XXXXX研究,2118Y31011A,7110666 ,材料与能源学院,,2018-11-01,2018,2019-04-30,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
XX技术研究,2118Y31021A,5230806 ,光电科学与工程学院,,2018-11-01,2018,2019-10-31,类别2,子类1,300,270,270,财务通过，立项完成,直接立项,进行中
