项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
模型失配情况下MIMO雷达的参数估计理论研究,161097,7120635 ,信息与通信工程学院,,2018-03-01,2018,2021-03-01,霍英东教育基金会,高等院校青年教师基金,13.5,0,0,学校通过,直接立项,进行中
熊猫主题文化数字资源管理与创作平台建设与服务,2018GFW0168,7060636 ,信息与软件工程学院（示范性软件学院）,,2018-03-01,2018,2019-12-31,四川省科技计划项目,应用基础研究项目,50,50,50,财务通过，立项完成,直接立项,进行中
四川省高校思想政治教育研究课题 （思想政治理论课青年教师专项）,SZQ2017021,7130641 ,马克思主义学院,,2018-03-01,2018,2019-06-30,其他社科类项目,其他社科类项目,0.3,.3,.3,财务通过，立项完成,直接立项,进行中
推进医养结合促进养老服务业发展研究,CSZK2018018,7060690 ,公共管理学院,,2018-03-01,2018,2019-12-31,其他社科类项目,其他社科类项目,12,5.8,5.8,财务通过，立项完成,直接立项,进行中
人工智能对社会治理带来的风险挑战与对策研究,CSZK2018024,5224814 ,公共管理学院,,2018-03-01,2018,2019-12-31,其他社科类项目,其他社科类项目,12,4.8,4.8,财务通过，立项完成,直接立项,进行中
用于3C产品的自充式高效锂硫电池双能源系统,2018RZ0082,7090678 ,电子科学与工程学院（示范性微电子学院）,,2018-03-01,2018,2020-02-01,四川省科技计划项目,苗子工程,10,10,10,财务通过，立项完成,直接立项,进行中
高校思想政治工作因事而化因时而进因势而新研究,17JZDW06,5230647 ,自动化工程学院,,2018-03-01,2018,2018-12-01,教育部人文社会科学研究项目,一般项目,5,4,4,财务通过，立项完成,直接立项,进行中
可调型***基础研究,14YY1722011,7060606 ,材料与能源学院,,2018-03-01,2018,2020-02-29,类别1,子类4,50,50,50,财务通过，立项完成,直接立项,进行中
无人机协同探测系统任务规划与资源管控技术研究,14HK160006A,7150594 ,信息与通信工程学院,,2018-03-01,2018,2018-09-30,类别1,子类9,12,4,4,财务通过，立项完成,直接立项,进行中
高速数据流挖掘的关键问题理论研究及应用,161062,7150714 ,计算机科学与工程学院（网络空间安全学院）,,2018-02-28,2018,2021-12-31,霍英东教育基金会,高等院校青年教师基金,17,0,0,学校通过,直接立项,进行中
电动汽车智能控制系统高可靠印制电路关键技术及产业化,20181ACE50001,7160710 ,材料与能源学院,,2018-02-11,2018,2020-08-31,省外产学研项目,省部级项目,35,35,35,财务通过，立项完成,直接立项,进行中
物联网智能感知、控制与优化研究,ThouTale-20180208,9200717 ,自动化工程学院,,2018-02-08,2018,2021-12-31,其他科技项目,高新类,500,214.75,214.75,财务通过，立项完成,直接立项,进行中
超导CPU与低温存储器接口互联电路研究,Y88XDB1001,7172798 ,核心电子材料与器件协同创新中心,,2018-02-01,2018,2018-12-31,省外产学研项目,省部级项目,762,762,762,财务通过，立项完成,直接立项,进行中
四川省创新方法推广应用与服务基地建设,2017IM010700-1,5223903 ,经济与管理学院,,2018-02-01,2018,2019-01-31,四川省科技计划项目,基础条件平台项目,16,16,16,财务通过，立项完成,直接立项,进行中
电力系统边缘计算的安全防护技术研究（南方电网网自筹）,2018YFB0904905-1,7060745 ,航空航天学院,,2018-01-31,2018,2020-06-30,国家重点研发计划,参与课题,265,265,265,财务通过，立项完成,直接立项,进行中
抗XXX平台组网协议设计技术,1211170301B,7090651 ,通信抗干扰技术国家级重点实验室,,2018-01-31,2018,2019-12-31,类别1,子类2,130,85.6,85.6,财务通过，立项完成,直接立项,进行中
XXXXXXXXX聚焦理论,22JQ184501B,5223758 ,信息与通信工程学院,,2018-01-31,2018,2021-12-31,类别2,子类2 （课题）,500,360,360,财务通过，立项完成,直接立项,进行中
XXXXXXXXXXXXX理论研究,22JQ184504B,7130642 ,信息与通信工程学院,,2018-01-31,2018,2022-03-30,类别2,子类2 （课题）,500,360,360,财务通过，立项完成,直接立项,进行中
电力系统边缘计算的安全防护技术研究,2018YFB0904905,7060745 ,航空航天学院,,2018-01-31,2018,2021-06-30,国家重点研发计划,参与课题,363,363,363,财务通过，立项完成,直接立项,进行中
建设智慧社会的顶层设计与实现路径研究,18VSJ057,5224814 ,公共管理学院,,2018-01-30,2018,2021-07-30,国家社会科学基金项目,一般项目,60,57,57,财务通过，立项完成,直接立项,进行中
新型***技术,1113180201B,5225165 ,信息与通信工程学院,,2018-01-29,2018,2020-12-31,类别1,子类1,150,75,75,财务通过，立项完成,直接立项,进行中
基于非线性传输线的XXXXXXXX,14YY170301A,7120725 ,光电科学与工程学院,,2018-01-29,2018,2018-12-31,类别1,子类4,50,50,50,财务通过，立项完成,直接立项,进行中
××薄膜应用技术研究,1122170301A,5223654 ,材料与能源学院,,2018-01-29,2018,2020-12-31,类别1,子类1,160,150,150,财务通过，立项完成,直接立项,进行中
XXX测试与免维护技术,62EP1730104,5225243 ,资源与环境学院,,2018-01-24,2018,2019-01-25,类别6,子类5,80,80,80,财务通过，立项完成,直接立项,进行中
xxx系统综合设计技术,1108170101B,7110719 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-22,2018,2020-12-31,类别1,子类1,50,25,24.271845,财务通过，立项完成,直接立项,进行中
基于区块链的物联网溯源综合平台,2018GZ0218,5221004 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-22,2018,2019-06-22,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
《毛泽东思想和中国特色社会主义理论 体系概论》精彩教案与课件建设,SZQ2017020,8150639 ,马克思主义学院,,2018-01-18,2018,2019-12-31,其他社科类项目,其他社科类项目,0.3,.3,.3,财务通过，立项完成,直接立项,进行中
智能制造技术及服务应用示范,2018GFW0125,5224094 ,信息与软件工程学院（示范性软件学院）,,2018-01-15,2018,2019-12-31,四川省科技计划项目,科技服务业,20,20,20,财务通过，立项完成,直接立项,进行中
基于时分交替MASH结构的高速ADC设计研究,61761136015,7110594 ,电子科学与工程学院（示范性微电子学院）,,2018-01-06,2018,2020-12-31,国家自然科学基金,国际(地区)合作与交流项目,180,192.24,180,财务通过，立项完成,直接立项,进行中
曲面非结构**有限元方法研究,81GF17C10105,7140632 ,电子科学与工程学院（示范性微电子学院）,,2018-01-05,2018,2018-12-31,类别8,子类1（课题）,80,80,80,财务通过，立项完成,直接立项,进行中
基于HHT网络流量分析及行为异常检测,2018GZ0220,5231007 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-04,2018,2019-12-06,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
医疗供应链管理,18WHMJ01,7070613 ,经济与管理学院,,2018-01-03,2018,2022-12-31,教育部人文社会科学研究项目,一般项目,50,50,50,财务通过，立项完成,直接立项,进行中
***放大器技术,1212180104B,7120721 ,电子科学与工程学院（示范性微电子学院）,,2018-01-02,2018,2019-12-30,类别1,子类2,40,28,28,财务通过，立项完成,直接立项,进行中
星载低剖面瓦片式有源相控阵天线技术,13TJ181102B,5222138 ,电子科学与工程学院（示范性微电子学院）,,2018-01-02,2018,2020-09-30,类别6,子类7,200,180.43,176.35233,财务通过，立项完成,直接立项,进行中
XX故障XX新技术,1103170103A,8190602 ,自动化工程学院,,2018-01-02,2018,2020-12-31,类别1,子类1,215,193,193,财务通过，立项完成,直接立项,进行中
XXX多天线传输技术研究,IFN2018219,7160706 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2018-12-31,实验室基金（校内）,国家级平台基金,10,0,0,学校通过,直接立项,进行中
